framenumber, male_x, male_y, male_angle, female_x, female_y, female_angle
1 ,97,212,0.658395206805 ,254,156,5.05869522997
2 ,87,203,0.875638844303 ,240,173,5.21369773016
3 ,79,195,0.595509850827 ,230,184,5.18870516175
4 ,74,185,0.895003753853 ,220,207,4.99709494909
5 ,68,182,1.05860493541 ,218,211,4.99262463346
6 ,65,172,1.07978718609 ,207,215,5.50817933099
7 ,64,167,1.11950983164 ,198,218,5.52781108928
8 ,55,157,1.37352373431 ,186,221,5.67627379794
9 ,53,153,1.31253681272 ,176,221,5.77155477752
10 ,51,142,1.49351565302 ,158,219,5.95908765726
11 ,52,134,1.39371741959 ,146,216,6.08205991955
12 ,51,129,1.41476065326 ,123,218,6.08379030847
13 ,51,126,1.63329224124 ,118,216,6.03956678751
14 ,50,117,1.7431962597 ,116,208,0.487877263265
15 ,52,112,1.75989735901 ,112,203,0.535823217634
16 ,52,100,1.90755331295 ,103,200,0.474503933535
17 ,54,93,2.02110637393 ,94,196,0.465923761135
18 ,54,81,2.10967848455 ,84,189,0.543217750717
19 ,59,73,1.92548344446 ,78,184,0.590608702315
20 ,64,66,2.05347553238 ,73,176,0.802387533255
21 ,66,62,2.16457572212 ,71,165,1.01126937756
22 ,72,53,2.11726360009 ,63,149,0.977086639707
23 ,78,47,2.26960400446 ,59,141,1.00113445172
24 ,84,38,2.29445575822 ,55,126,1.07557033682
25 ,85,35,2.54349301176 ,55,123,1.0114435483
26 ,94,30,2.5333562217 ,59,126,1.04613175413
27 ,96,25,2.7983901518 ,60,132,4.13746789479
28 ,104,21,2.73195626683 ,59,133,3.7759841237
29 ,114,20,2.76038524515 ,55,136,4.15656968402
30 ,130,15,2.94452885294 ,53,141,4.17038776165
31 ,141,11,3.17076318912 ,55,148,4.11939621626
32 ,151,9,3.27155411584 ,62,167,4.49527051146
33 ,160,8,3.29257258211 ,60,168,4.53082371201
34 ,174,8,3.29082102106 ,64,172,4.31928456557
35 ,185,8,3.38814065046 ,69,182,4.29079779665
36 ,193,9,3.30443723108 ,76,194,4.25275880154
37 ,197,12,3.47419510845 ,82,195,3.67979300881
38 ,200,13,3.44738000575 ,85,199,3.81982627999
39 ,201,12,3.4826662244 ,87,206,4.15829274925
40 ,207,16,3.69393492683 ,97,209,3.15174089524
41 ,214,21,3.77048323131 ,103,208,3.13028127633
42 ,235,33,3.90478537982 ,116,209,2.91807407593
43 ,244,40,3.90947414123 ,128,205,2.96095989107
44 ,252,50,4.11250821642 ,145,200,2.94646683526
45 ,260,59,4.18803226914 ,147,200,2.97989669748
46 ,263,68,4.13018841026 ,155,210,3.63235465295
47 ,269,78,4.3049599547 ,164,220,3.75621241629
48 ,269,86,4.46742716226 ,181,220,3.14653774426
49 ,271,90,4.42745844062 ,193,213,2.98072720426
50 ,274,93,4.43762958546 ,212,206,2.99420732675
51 ,274,97,4.41866415007 ,218,203,2.98356120714
52 ,275,109,4.53144156538 ,230,186,2.50690703734
53 ,275,114,4.66774534577 ,242,176,2.55789279035
54 ,274,114,4.67290122564 ,254,174,2.76007751689
55 ,274,114,4.70139811457 ,258,176,3.08543883674
56 ,274,114,4.68464416815 ,261,164,2.48629523576
57 ,274,114,4.69479400769 ,267,158,2.54499743146
58 ,274,114,4.69795038622 ,266,155,2.36405960384
59 ,274,114,4.7076197915 ,265,149,2.12468832677
60 ,274,105,1.79633551135 ,266,148,2.09365314571
61 ,273,104,1.7996943567 ,268,140,1.92495134488
62 ,274,101,1.81667175897 ,269,134,1.87119760209
63 ,274,99,1.36632840568 ,269,134,1.85863866703
64 ,274,94,2.12156187552 ,264,136,4.98864781823
65 ,271,99,0.203264172304 ,263,135,4.97161923332
66 ,272,99,6.23781130063 ,262,136,5.01631038872
67 ,272,99,3.3971521218 ,261,137,4.91428956428
68 ,275,105,4.34495530795 ,248,141,5.29604869647
69 ,276,113,4.4258940998 ,239,145,5.44462365736
70 ,277,118,4.5110593283 ,235,149,5.62188006425
71 ,279,123,4.70602029695 ,231,150,5.64263081625
72 ,276,131,4.83937121426 ,223,150,5.84340819531
73 ,275,131,4.95487943495 ,217,150,5.86098425956
74 ,275,131,4.94386784641 ,213,148,6.10841602643
75 ,274,135,5.00710706992 ,211,148,6.15852792972
76 ,272,145,5.10986560663 ,205,148,6.13559531641
77 ,270,151,5.13601595103 ,203,148,6.13667895666
78 ,263,166,5.12984231086 ,200,146,3.23741105908
79 ,260,173,5.26267449432 ,196,145,3.33958669641
80 ,254,181,5.35059869113 ,193,144,3.32985883474
81 ,248,190,5.40725964043 ,190,143,3.49843400227
82 ,241,199,5.4377655515 ,188,142,3.5718570872
83 ,236,203,5.5200727421 ,187,141,3.71130885715
84 ,229,208,5.54521111858 ,187,140,3.76568967451
85 ,227,211,5.64016745882 ,187,139,3.78443926069
86 ,221,217,5.85318359441 ,187,137,3.88326064662
87 ,210,221,5.74554441552 ,187,136,3.96930045723
88 ,206,223,5.79018305671 ,190,137,4.12209506371
89 ,197,224,5.92111018117 ,194,138,4.23365275125
90 ,188,228,5.96023974075 ,199,149,4.49701967566
91 ,184,228,6.06991164392 ,205,158,4.56350176385
92 ,174,228,6.21470638081 ,214,173,4.64898071273
93 ,167,228,6.11698914146 ,217,180,4.93653458268
94 ,150,228,6.26968294729 ,219,194,5.25270798012
95 ,142,228,6.16851331907 ,216,197,5.36950254091
